codepoint_dec,codepoint_hex,char,width
000161,U+00A1,¡,1.0000
000162,U+00A2,¢,1.0000
000163,U+00A3,£,1.0000
000164,U+00A4,¤,1.0000
000165,U+00A5,¥,1.0000
000166,U+00A6,¦,1.0000
000167,U+00A7,§,1.0000
000168,U+00A8,¨,1.0000
000169,U+00A9,©,1.0000
000170,U+00AA,ª,1.0000
000171,U+00AB,«,1.0000
000172,U+00AC,¬,1.1980
000174,U+00AE,®,1.0000
000175,U+00AF,¯,1.2630
000176,U+00B0,°,1.0000
000177,U+00B1,±,1.3970
000180,U+00B4,´,1.0000
000182,U+00B6,¶,1.0000
000183,U+00B7,·,0.4980
000184,U+00B8,¸,1.0000
000186,U+00BA,º,1.0000
000187,U+00BB,»,1.0000
000188,U+00BC,¼,1.0000
000189,U+00BD,½,1.0000
000190,U+00BE,¾,1.0000
000191,U+00BF,¿,1.0000
000215,U+00D7,×,1.3970
000247,U+00F7,÷,1.3970
000305,U+0131,ı,1.0000
000733,U+02DD,˝,1.0000
000915,U+0393,Γ,1.1240
000916,U+0394,Δ,1.4990
000920,U+0398,Θ,1.3970
000923,U+039B,Λ,1.2490
000926,U+039E,Ξ,1.1980
000928,U+03A0,Π,1.3500
000931,U+03A3,Σ,1.2990
000933,U+03A5,Υ,1.3500
000934,U+03A6,Φ,1.2990
000936,U+03A8,Ψ,1.3970
000937,U+03A9,Ω,1.2990
000945,U+03B1,α,1.1490
000946,U+03B2,β,1.0170
000947,U+03B3,γ,0.9300
000948,U+03B4,δ,0.7990
000949,U+03B5,ε,0.8380
000950,U+03B6,ζ,0.7860
000951,U+03B7,η,0.8930
000952,U+03B8,θ,1.0630
000953,U+03B9,ι,0.6350
000954,U+03BA,κ,1.0360
000955,U+03BB,λ,1.0490
000956,U+03BC,μ,1.0830
000957,U+03BD,ν,0.8870
000958,U+03BE,ξ,0.7860
000960,U+03C0,π,1.0260
000961,U+03C1,ρ,0.9300
000963,U+03C3,σ,1.0270
000964,U+03C4,τ,0.7860
000965,U+03C5,υ,0.9710
000966,U+03C6,φ,1.1760
000967,U+03C7,χ,1.1240
000968,U+03C8,ψ,1.1710
000969,U+03C9,ω,1.1190
001013,U+03F5,ϵ,0.7290
008208,U+2010,‐,1.0000
008213,U+2015,―,1.6600
008214,U+2016,‖,1.1410
008224,U+2020,†,0.9190
008225,U+2021,‡,0.9190
008230,U+2026,…,1.8000
008242,U+2032,′,0.4450
008249,U+2039,‹,1.0000
008250,U+203A,›,1.0000
008256,U+2040,⁀,0.8880
008267,U+204B,⁋,1.0000
008364,U+20AC,€,1.0000
008450,U+2102,ℂ,1.2600
008459,U+210B,ℋ,1.5190
008460,U+210C,ℌ,1.2960
008461,U+210D,ℍ,1.5570
008464,U+2110,ℐ,0.9780
008465,U+2111,ℑ,1.2990
008466,U+2112,ℒ,1.2400
008469,U+2115,ℕ,1.5670
