codepoint_dec,codepoint_hex,char,width,rel_to_space
000161,U+00A1,¡,1.0000,1.0000
000162,U+00A2,¢,1.0000,1.0000
000163,U+00A3,£,1.0000,1.0000
000164,U+00A4,¤,1.0000,1.0000
000165,U+00A5,¥,1.0000,1.0000
000166,U+00A6,¦,1.0000,1.0000
000167,U+00A7,§,1.0000,1.0000
000168,U+00A8,¨,1.0000,1.0000
000169,U+00A9,©,1.0000,1.0000
000170,U+00AA,ª,1.0000,1.0000
000171,U+00AB,«,1.0000,1.0000
000172,U+00AC,¬,1.0000,1.0000
000174,U+00AE,®,1.0000,1.0000
000175,U+00AF,¯,1.0000,1.0000
000176,U+00B0,°,1.0000,1.0000
000177,U+00B1,±,1.0000,1.0000
000180,U+00B4,´,1.0000,1.0000
000182,U+00B6,¶,1.0000,1.0000
000183,U+00B7,·,1.0000,1.0000
000184,U+00B8,¸,1.0000,1.0000
000186,U+00BA,º,1.0000,1.0000
000187,U+00BB,»,1.0000,1.0000
000188,U+00BC,¼,1.0000,1.0000
000189,U+00BD,½,1.0000,1.0000
000190,U+00BE,¾,1.0000,1.0000
000191,U+00BF,¿,1.0000,1.0000
000215,U+00D7,×,1.0000,1.0000
000247,U+00F7,÷,1.0000,1.0000
000305,U+0131,ı,1.0000,1.0000
000733,U+02DD,˝,1.0000,1.0000
000915,U+0393,Γ,1.0000,1.0000
000916,U+0394,Δ,1.0000,1.0000
000920,U+0398,Θ,1.0000,1.0000
000923,U+039B,Λ,1.0000,1.0000
000926,U+039E,Ξ,1.0000,1.0000
000928,U+03A0,Π,1.0000,1.0000
000931,U+03A3,Σ,1.0000,1.0000
000933,U+03A5,Υ,1.0000,1.0000
000934,U+03A6,Φ,1.0000,1.0000
000936,U+03A8,Ψ,1.0000,1.0000
000937,U+03A9,Ω,1.0000,1.0000
000945,U+03B1,α,1.0000,1.0000
000946,U+03B2,β,1.0000,1.0000
000947,U+03B3,γ,1.0000,1.0000
000948,U+03B4,δ,1.0000,1.0000
000949,U+03B5,ε,1.0000,1.0000
000950,U+03B6,ζ,1.0000,1.0000
000951,U+03B7,η,1.0000,1.0000
