code	v18	v20	diff	rel%
172	1.199	1.199	0.000	0.0
175	1.264	1.264	0.000	0.0
177	1.398	1.399	0.001	0.1
183	0.499	0.498	-0.001	-0.2
215	1.398	1.399	0.001	0.1
247	1.398	1.399	0.001	0.1
915	1.125	1.125	0.000	0.0
916	1.5	1.5	0.000	0.0
920	1.398	1.399	0.001	0.1
923	1.249	1.249	0.000	0.0
926	1.199	1.199	0.000	0.0
928	1.35	1.35	0.000	0.0
931	1.3	1.299	-0.001	-0.1
933	1.35	1.35	0.000	0.0
934	1.3	1.299	-0.001	-0.1
936	1.398	1.399	0.001	0.1
937	1.3	1.299	-0.001	-0.1
945	1.15	1.151	0.001	0.1
947	0.931	0.931	0.000	0.0
948	0.8	0.799	-0.001	-0.1
949	0.839	0.839	0.000	0.0
950	0.787	0.787	0.000	0.0
951	0.893	0.894	0.001	0.1
952	1.063	1.064	0.001	0.1
953	0.635	0.636	0.001	0.2
956	1.084	1.084	0.000	0.0
957	0.888	0.888	0.000	0.0
958	0.787	0.787	0.000	0.0
961	0.931	0.931	0.000	0.0
964	0.787	0.787	0.000	0.0
966	1.177	1.177	0.000	0.0
967	1.125	1.125	0.000	0.0
968	1.171	1.172	0.001	0.1
969	1.12	1.119	-0.001	-0.1
1013	0.729	0.729	0.000	0.0
8213	1.66	1.661	0.001	0.1
8214	1.141	1.142	0.001	0.1
8224	0.919	0.92	0.001	0.1
8225	0.919	0.92	0.001	0.1
8230	1.8	1.801	0.001	0.1
8242	0.445	0.445	0.000	0.0
8256	0.888	0.888	0.000	0.0
8450	1.261	1.26	-0.001	-0.1
8459	1.519	1.519	0.000	0.0
8460	1.295	1.297	0.002	0.2
8461	1.558	1.558	0.000	0.0
8465	1.3	1.299	-0.001	-0.1
8466	1.241	1.24	-0.001	-0.1
8469	1.568	1.568	0.000	0.0
8472	1.144	1.144	0.000	0.0
8473	1.271	1.272	0.001	0.1
8474	1.367	1.368	0.001	0.1
8475	1.524	1.525	0.001	0.1
8476	1.3	1.299	-0.001	-0.1
8477	1.474	1.474	0.000	0.0
8484	1.416	1.417	0.001	0.1
8487	1.3	1.299	-0.001	-0.1
8488	1.084	1.084	0.000	0.0
8492	1.18	1.181	0.001	0.1
8493	1.101	1.102	0.001	0.1
8496	0.948	0.948	0.000	0.0
8497	1.293	1.292	-0.001	-0.1
8499	2.16	2.161	0.001	0.0
8501	1.099	1.1	0.001	0.1
8592	1.8	1.801	0.001	0.1
8593	0.901	0.901	0.000	0.0
8594	1.8	1.801	0.001	0.1
8595	0.901	0.901	0.000	0.0
